organization_name,organization_id,dataset_count
Le Conseil Départemental de la Mayenne,5aeab860c751df3bca98b623,2
Rennes Métropole en accès libre,580735be88ee3814295ff490,5
Ministère de la Culture,534fff91a3a7292c64a77f73,177
Métropole Européenne de Lille ,58b69c62c751df4b175dd7a4,2
Région Hauts-de-France,5df935d8634f414e69469492,13
"Direction régionale de l'environnement, de l'aménagement et du logement de Bretagne",67a34f4cfe9d312c39d50e50,1
Communauté de Communes Coeur de France,655f2947859732fe0d21e791,4
Région Île-de-France,534fffa8a3a7292c64a780c8,63
Ministère chargé de l'Enseignement supérieur et de la Recherche,534fff90a3a7292c64a77f45,13
Ville de Roubaix,5be53f55634f4119ca26ec72,7
Département des Alpes-Maritimes,5e00c7456f444104766e92d6,2
Ville de Soissons,6095142a84c45b36441511eb,1
Département du Loiret,57d90ef4c751df44fb79df72,2
Conseil départemental de la Haute-Garonne - Haute-Garonne Open Data,582a045088ee3875cec65bb4,71
Bordeaux Métropole,5b0d11f688ee382af4b18c95,2
Arcom - Autorité de Régulation de la Communication Audiovisuelle et Numérique,6246a8ef51bb06001c520e78,9
Métropole du Grand Paris,5c9c9b21634f4110f582a39a,12
CC Autour de Chenonceaux Bléré - Val de Cher,673c60d46977e554ea8fb462,1
Région Occitanie / Pyrénées Méditerranée,5a153f5688ee3829e2fbf39f,11
Ville de Martigues,5be9467a634f415a8620975f,1
Département de la Seine-Maritime,5e281d5b634f417c0c54ae2f,11
CHATEAUROUX METROPOLE,5bf67a998b4c417eae692920,5
France Tiers-Lieux,656dac008f9e9319f0d31414,1
Ville d'Antibes,566594f388ee38738640355c,34
Conseil Départemental de la Haute-Savoie,5c34b73c634f412639ff1b5f,4
Caisse des Dépôts,5fa985066333fad0e735c985,1
Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,2
"Ministère de l'Économie, des Finances et de l'Industrie",534fff8ea3a7292c64a77f02,1
DDTM Pas-de-Calais,58aeedd088ee3820f0d3e7cd,2
DDTM Finistère,58aedac788ee387b6dcadf8e,1
CipherBliss EI,670521e8d95df97ada2ffbd9,2
Région Centre-Val de Loire,561a7f00c751df4e6dcdbb48,6
Ville de Lanester,59d6526ac751df274a175d35,1
Ville d'Issy-les-Moulineaux,534fffb7a3a7292c64a78145,10
Département des Alpes de Haute-Provence,62344583fb72d30231b482f5,5
Avignon,60f7d111a6874047ef5c56f5,1
Ville de Marseille,534fffb8a3a7292c64a7814c,19
Troyes Champagne Métropole,65f2e13a41f2ef9a76ff6ed5,2
Géo2France,5ddc086f634f41190d4c1006,2
Région Provence-Alpes-Côte-d'Azur,534fffa8a3a7292c64a780d2,3
Grand Avignon,5a7ad2b1c751df27e7d1190c,2
Région Normandie,565ebf4788ee3869aae72046,4
CHARTRES METROPOLE,6399f7e3f801257af9a3b4b3,4
Ville de Paris,534fff89a3a7292c64a77eb7,15
"Ministères de l'Éducation nationale, Sports et Jeunesse",534fff8fa3a7292c64a77f22,2
Clermont Auvergne Métropole,5f60b2cb86bb3584d0f09f08,13
Orléans Métropole,57ed2fe9c751df236179df72,3
Ville de Grenoble,5733038988ee38472ed1b934,3
Toulouse métropole,534fffb3a3a7292c64a78129,34
Ville de Niort,5912ddcac751df1c0de5387b,1
Direction Interministérielle de la Transformation Publique,5e32dee6634f411679399abb,2
Brest métropole,534fff5ba3a7292c64a77d19,3
Ville de Tours,56d5a6d4c751df360dabb90c,1
Mairie de Cannes,5d1db3df8b4c416509fd0870,32
Grand Poitiers Open Data,54da1f52c751df59f7467389,4
Parc naturel régional du Morvan ,5f91506e6d1d6f595ceb0ea8,1
wikimaginot,63aff09b9f4e6a0a9c9ecabd,1
Grand Paris Sud Est Avenir,5a997b56c751df3510b19351,1
Métropole Rouen Normandie,5a0467d188ee38711f65672c,1
Cità di Portivechju,619e52c5aed3f24ffa360651,9
Mairie de Saint-Denis (La Réunion),5c050cfb8b4c413be36cb1c3,1
Tours Métropole Val de Loire,5cb6d4f78b4c4118e18f37d1,2
Ville d'Argenton-sur-Creuse,62711de919af2df1f9141a08,1
Département de l'Hérault,59087a45c751df5a2a2c425f,2
Département du Calvados,5bd96f848b4c415ecb7a9a8b,7
Communauté d'Agglomération Plaine Vallée,56dfe50288ee384349cfd996,3
Conseil départemental de l'Isère,5bb1c7e4634f412a95dff6b9,3
Agglo du Pays de Dreux,5bdc50dc634f412dd9a4e7a3,1
Saint-Louis Agglomération,5a7c19f5c751df3e55b0c321,1
Ville de Bayonne,58d53c4688ee380aeea5e932,2
Saint-Marcellin ,619f587a232623229cd54d68,2
Entre Juine et Renarde ,619f618f38e27e934733e60c,1
Région Bretagne,559a4970c751df46a9a453ba,2
Ville d'Houplin-Ancoisne,609e908036c716d80d0036bd,1
Métropole Nice Côte d'Azur,59aea226c751df38f3f6834b,12
